,c2,c4,c5,c6
14,The example demos that due to reasonable constraints placed in word alignment training  the link to _tK is corrected and consequently we have accurate word translation for the Arabic singleton 7 Heuristics based on cooccurrence analysis  such as pointwise mutual information or Dice coefficients   have been shown to be indicative for word alignments  ,BackGround,GRelated,1
15,These feature weights are tuned on the dev set to achieve optimal translation performance using downhill simplex method  ,Fundamental,Basis,1
16,By combining word alignments in two directions using heuristics    a single set of static word alignments is then formed,Fundamental,Basis,1
17,We simply modify the GIZA toolkit   by always weighting lexicon probabilities with soft constraints during iterative model training  and obtain 07 TER reduction on both sets and 04 BLEU improvement on the test set,Fundamental,Basis,1
18,We measure translation performance by the BLEU score   and Translation Error Rate TER   with one reference for each hypothesis,Fundamental,Basis,1
19,Toutanova et al   augmented bilingual sentence pairs with partofspeech tags as linguistic constraints for HMMbased word alignments,BackGround,GRelated,1
20,While word alignments can help identifying semantic relations    we proceed in the reverse direction,BackGround,GRelated,3
21,We shall take HMMbased word alignment model   as an example and follow the notation of  ,Fundamental,Basis,1
22,Our baseline word alignment model is the wordtoword Hidden Markov Model  ,Fundamental,Basis,1
23,Many stateoftheart SMT systems do not use trees and base the ordering decisions on surface phrases  ,BackGround,GRelated,1
24,An important advantage of our model is that it is global  and does not decompose the task of ordering a target sentence into a series of local decisions  as in the recently proposed order models for Machine Transition  ,BackGround,GRelated,3
25,Alternatively  order is modelled in terms of movement of automatically induced hierarchical structure of sentences  ,BackGround,GRelated,3
26,These Nbest lists are generated using approximate search and simpler models  as in the reranking approach of  ,Fundamental,Basis,1
27,tings  even for a bigram language model  ,,,
28,9 The advantages of modeling how a target language syntax tree moves with respect to a source language syntax tree are that i we can capture the fact that constituents move as a whole and generally respect the phrasal cohesion constraints    and ii we can model broad syntactic reordering phenomena  such as subjectverbobject constructions translating into subjectobjectverb ones  as is generally the case for English and Japanese,BackGround,SRelated,2
29,Previous work has shown that it is useful to model target language order in terms of movement of syntactic constituents in constituency trees   or dependency trees    which are obtained using a parser trained to determine linguistic constituency,BackGround,GRelated,2
30,Our results show that combining features derived from the source and target dependency trees  distortion surface orderbased features like the distortion used in Pharaoh   and language modellike features results in a model which significantly outperforms models using only some of the information sources,Fundamental,Basis,2
31,Pharaoh DISP Displacement as used in Pharaoh  ,Fundamental,Basis,1
32,These models are combined as feature functions in a loglinear model for predicting a target sentence given a source sentence  in the framework proposed by  ,Fundamental,Basis,1
33,The target dependency trees are obtained through projection of the source dependency trees  using the word alignment we use GIZA    ensuring better parallelism of the source and target structures,Fundamental,Basis,1
34,The sentences were annotated with alignment using GIZA   and syntactic dependency structures of the source and target  obtained as described in Section 2,Fundamental,Basis,1
35,Our model is discriminatively trained to select the best order according to the BLEU measure   of an unordered target dependency tree from the space of possible orders,Fundamental,Basis,1
36,Our algorithm for obtaining target dependency trees by projection of the source trees via the word alignment is the one used in the MT system of  ,Fundamental,Basis,1
37,It follows the order model defined in  ,Fundamental,Idea,1
38,Our baseline SMT system is the system of Quirk et al  ,Fundamental,Basis,1
39,The projection algorithm of   defines heuristics for each of these problems,BackGround,SRelated,1
40,1 Previous studies have shown that if both the source and target dependency trees represent linguistic constituency  the alignment between subtrees in the two languages is very complex  ,BackGround,GRelated,1
41,A host of discriminative methods have been introduced  ,BackGround,GRelated,1
42,2 We also investigated extractionspecific metrics the frequency of interior nodes  a measure of how often the alignments violate the constituent structure of English parses  and a variant of the CPER metric of Ayan and Dorr  ,Fundamental,Basis,1
43, From Ayan and Dorr    growdiagfinal heuristic,,,
44,5 Similarly  we compared our Chinese results to the GIZA results in Ayan and Dorr  ,Compare,Compare,1
45,Additionally  we evaluated our model with the transducer analog to the consistent phrase error rate CPER metric of Ayan and Dorr  ,Fundamental,Basis,1
46,Like the classic IBM models    our model will introduce a latent alignment vector a  a 1   a J  that specifies the position of an aligned target word for each source word,Fundamental,Idea,1
47,However  few of these methods have explicitly addressed the tension between word alignments and the syntactic processes that employ them  ,BackGround,GRelated,3
48,Syntactic methods are an increasingly promising approach to statistical machine translation  being both algorithmically appealing   and empirically successful  ,BackGround,GRelated,2
49,Daume III and Marcu   employs a syntaxaware distortion model for aligning summaries to documents  but condition upon the roots of the constituents that are jumped over during a transition  instead ofthose that are visited during a walk through the tree,BackGround,GRelated,1
50,Our transductive learning algorithm  Algorithm 1  is inspired by the Yarowsky algorithm  ,Fundamental,Idea,1
51,Under certain precise conditions  as described in    we can analyze Algorithm 1 as minimizing the entropy of the distribution over translations of U,Fundamental,Idea,1
52,We used the following scoring functions in our experiments Lengthnormalized Score Each translated sentence pair t  s is scored according to the model probability p t  s normalized by the length t of the target sentence Scoret  s   p t  s 11 3 Confidence Estimation The confidence estimation which we implemented follows the approaches suggested in   The confidence score of a target sentence t is calculated as a loglinear combination of phrase posterior probabilities  Levenshteinbased word posterior probabilities  and a target language model score,Fundamental,Idea,1
53,One language pair creates data for another language pair and can be naturally used in a  style cotraining algorithm,BackGround,GRelated,1
54,These lists are rescored with the following models a the different models used in the decoder which are described above  b two different features based on IBM Model l    c posterior probabilities for words  phrases  ngrams  and sentence length    all calculated over the Nbest list and using the sentence probabilities which the baseline system assigns to the translation hypotheses,Fundamental,Basis,1
55,In    a generative model for word alignment is trained using unsupervised learning on parallel text,BackGround,GRelated,1
56,In   cotraining is applied to MT,BackGround,GRelated,1
57,Along similar lines    combine a generative model of word alignment with a loglinear discriminative model trained on a small set of hand aligned sentences,BackGround,GRelated,1
58,BLEU score using the algorithm described in  ,,,
59,The models or features which are employed by the decoder are a one or several phrase tables  which model the translation direction p s 1 1  b one or several ngram language models trained with the SRILM toolkit   in the experiments reported here  we used 4gram models on the NIST data  and a trigram model on EuroParl  c a distortion model which assigns a penalty based on the number of source words which are skipped when generating a new target phrase  and d a word penalty,Fundamental,Basis,1
60,for a detailed description see  ,BackGround,SRelated,1
61,For details  see  ,BackGround,SRelated,1
62,It overlaps with the original phrase tables  but also contains many new phrase pairs  ,BackGround,SRelated,1
63,Selftraining for SMT was proposed in  ,BackGround,GRelated,1
64,Recently  Cabezas and Resnik   experimented with incorporating WSD translations into Pharaoh  a stateoftheart phrasebased MT system  ,BackGround,GRelated,2
65,The relatively small improvement reported by Cabezas and Resnik   without a statistical significance test appears to be inconclusive,BackGround,GRelated,3
66,Note that comparing with the MT systems used in   and    the Hiero system we are using represents a much stronger baseline MT system upon which the WSD system must improve,Compare,Compare,3
67,Carpuat and Wu   integrated the translation predictions from a Chinese WSD system   into a ChineseEnglish wordbased statistical MT system using the ISI ReWrite decoder  ,BackGround,GRelated,1
68,Note that the experiments in   did not use a stateoftheart MT system  while the experiments in   were not done using a fullfledged MT system and the evaluation was not on how well each source sentence was translated as a whole,BackGround,GRelated,3
69,We obtain accuracy that compares favorably to the best participating system in the task  ,Fundamental,Basis,1
70,For our experiments  we use the SVM implementation of   as it is able to work on multiclass problems to output the classification probability for each class,Fundamental,Basis,2
71,Capitalizing on the strength of the phrasebased approach  Chiang   introduced a hierarchical phrasebased statistical MT system  Hiero  which achieves significantly better translation performance than Pharaoh    which is a stateoftheart phrasebased statistical MT system,BackGround,GRelated,1
72,In this paper  we successfully integrate a stateoftheart WSD system into the stateoftheart hierarchical phrasebased MT system  Hiero  ,Fundamental,Basis,2
73,Hiero   is a hierarchical phrasebased model for statistical machine translation  based on weighted synchronous contextfree grammar CFG  ,BackGround,SRelated,1
74,Similar to    we trained the Hiero system on the FBIS corpus  used the NIST MT 2002 evaluation test set as our development set to tune the feature weights  and the NIST MT 2003 evaluation test set as our test data,Fundamental,Idea,1
75,Following    we used the version 11a NIST BLEU script with its default settings to calculate the BLEU scores   based on caseinsensitive ngram matching  where n is up to 4,Fundamental,Idea,1
76,A ngram language model adds a dependence on n1 neighboring targetside words    making decoding much more difficult but still polynomial in this paper  we add features that depend on the neighboring sourceside words  which does not affect decoding complexity at all because the source string is fixed,BackGround,SRelated,1
77,The improvement of 057 is statistically significant at p   005 using the signtest as described by Collins et al    with 374 1  318 1 and 227 0,Fundamental,Basis,2
78,To perform translation  stateoftheart MT systems use a statistical phrasebased approach   by treating phrases as the basic units of translation,BackGround,GRelated,1
79,The word alignments of both directions are then combined into a single set of alignments using the diagand method of Koehn et al  ,Fundamental,Basis,1
80,Prior research has shown that using Support Vector Machines SVM as the learning algorithm for WSD achieves good results  ,BackGround,GRelated,2
81,Our implemented WSD classifier uses the knowledge sources of local collocations  partsofspeech POS  and surrounding words  following the successful approach of  ,Fundamental,Idea,2
82,First  we performed word alignment on the FBIS parallel corpus using GIZA   in both directions,Fundamental,Basis,1
83,Hiero uses a general loglinear model   where the weight of a derivation  D for a particular source sentence and its translation is where    i is a feature function and  X i is the weight for feature    i,BackGround,SRelated,1
84,Using the MT 2002 test set  we ran the minimumerror rate training MERT   with the decoder to tune the weights for each feature,Fundamental,Basis,1
85,the English portion of the FBIS corpus and the Xinhua portion of the Gigaword corpus  we trained a trigram language model using the SRI Language Modelling Toolkit  ,Fundamental,Basis,1
86,WSD approaches can be classified as a knowledgebased approaches  which make use of linguistic knowledge  manually coded or extracted from lexical resources   b corpusbased approaches  which make use of shallow knowledge automatically acquired from corpus and statistical or machine learning algorithms to induce disambiguation models   and c hybrid approaches  which mix characteristics from the two other approaches to automatically acquire disambiguation models from corpus supported by linguistic knowledge  ,BackGround,GRelated,1
87,Although it has been argued that WSD does not yield better translation quality than a machine translation system alone  it has been recently shown that a WSD module that is developed following specific multilingual requirements can significantly improve the performance of a machine translation system  ,BackGround,GRelated,2
88,Finally  MCWSD   is a multiclass averaged perceptron classifier using syntactic and narrow context features  with one component trained on the data provided by Senseval and other trained on WordNet glosses,BackGround,SRelated,1
89,It is an interesting approach to learning which has been considered promising for several applications in natural language processing and has been explored for a few of them  namely POStagging  grammar acquisition and semantic parsing  ,BackGround,GRelated,1
90,For example  Dang and Palmer   also use a rich set of features with a traditional learning algorithm maximum entropy,BackGround,GRelated,1
91,Linguistic knowledge is available in electronic resources suitable for practical use  such as WordNet    dictionaries and parsers,BackGround,GRelated,1
92,There is not always a direct relation between the possible senses for a word in a monolingual lexicon and its translations to a particular language  so this represents a different task to WSD against a monolingual lexicon  ,BackGround,GRelated,1
93,CLaC1   uses a Naive Bayes algorithm with a dynamically adjusted context window around the target word,BackGround,SRelated,1
94,The sense with the highest count of overlapping words in its dictionary definition and in the sentence containing the target verb excluding stop words        represented by has_overlappingsentence  translation  has_overlappingsnt 1  voltar,BackGround,SRelated,1
95,Verbs and possible senses in our corpus Both corpora were lemmatized and partofspeech POS tagged using Minipar   and Mxpost    respectivelly,Fundamental,Basis,1
96,These approaches have shown good results particularly those using supervised learning  ,BackGround,GRelated,2
97,WSD systems have generally been more successful in the disambiguation of nouns than other grammatical categories  ,BackGround,GRelated,2
98,Syntalex3   is based on an ensemble of bagged decision trees with narrow context partofspeech features and bigrams,BackGround,SRelated,1
99,This is achieved using Inductive Logic Programming ILP    which has not yet been applied to WSD,Fundamental,Basis,1
100,Inductive Logic Programming   employs techniques from Machine Learning and Logic Programming to build firstorder theories from examples and background knowledge  which are also represented by firstorder clauses,BackGround,SRelated,1
101,2 A more specific clause the bottom clause is built using inverse entailment    generally consisting of the representation of all the knowledge about that example,Fundamental,Basis,1
102,This corpus was automatically annotated with the translation of the verb using a tagging system based on parallel corpus  statistical information and translation dictionaries    followed by a manual revision,Fundamental,Basis,1
103,All the knowledge sources were made available to be used by the inference engine  since previous experiments showed that they are all relevant  ,BackGround,GRelated,1
104,We use the Aleph ILP system    which provides a complete inference engine and can be customized in various ways,Fundamental,Basis,1
105,In the hybrid approaches that have been explored so far  deep knowledge  like selectional preferences  is either preprocessed into a vector representation to accommodate machine learning algorithms  or used in previous steps to filter out possible senses eg  ,BackGround,GRelated,1
106,Roark and Bacchiani   showed that weighted countmerging is a special case of maximum a posteriori MAP estimation  and successfully used it for probabilistic contextfree grammar domain adaptation   and language model adaptation  ,BackGround,GRelated,2
107,We have recently shown that this algorithm is effective in estimating the sense priors of a set of nouns  ,BackGround,SRelated,2
108,However  in    we showed that in a supervised setting where one has access to some annotated training data  the EMbased method in section 5 estimates the sense priors more effectively than the method described in  ,Compare,Compare,1
109,A similar work is the recent research by Chen et al    where active learning was used successfully to reduce the annotation effort for WSD of 5 English verbs using coarsegrained evaluation,BackGround,SRelated,1
110,This is slightly higher than the 58 senses per verb in    where the experiments were conducted using coarsegrained evaluation,Compare,Compare,1
111,For WSD  Fujii et al   used selective sampling for a Japanese language WSD system  Chen et al   used active learning for 5 verbs using coarsegrained evaluation  and H,BackGround,GRelated,1
112,Dang   employed active learning for another set of 5 verbs,BackGround,GRelated,1
113,To investigate this  Escudero et al   and Martinez and Agirre   conducted experiments using the DSO corpus  which contains sentences from two different corpora  namely Brown Corpus BC and Wall Street Journal WSJ,BackGround,GRelated,1
114,Escudero et al   pointed out that one of the reasons for the drop in accuracy is the difference in sense priors ie  the proportions of the different senses of a word between BC and WSJ,BackGround,GRelated,1
115,Following the setup of    we similarly made use of the DSO corpus to perform our experiments on domain adaptation,Fundamental,Idea,1
116,As mentioned in section 1  research in   noted an improvement in accuracy when they adjusted the BC and WSJ datasets such that the proportions of the different senses of each word were the same between BC and WSJ,BackGround,SRelated,1
117,Escudero et al   used the DSO corpus to highlight the importance of the issue of domain dependence of WSD systems  but did not propose methods such as active learning or countmerging to address the specific problem of how to perform domain adaptation for WSD,BackGround,GRelated,1
118,This is similar to the approach taken in   where they focus on determining the predominant sense of words in corpora drawn from finance versus sports domains,Fundamental,Idea,1
119,Research by McCarthy et al   and Koeling et al   pointed out that a change of predominant sense is often indicative of a change in domain,BackGround,GRelated,1
120,These knowledge sources were effectively used to build a stateoftheart WSD program in one of our prior work  ,BackGround,SRelated,2
121,To reduce the effort required to adapt a WSD system to a new domain  we employ an active learning strategy   to select examples to annotate from the new domain of interest,Fundamental,Basis,1
122,With active learning    we use uncertainty sampling as shown r   WSD system trained on D T b   word sense prediction for d using r  p   confidence of prediction b if p  p  min then Figure 1 Active learning in Figure 1,Fundamental,Basis,1
123,The WordNet Domains resource   assigns domain labels to synsets in WordNet,BackGround,SRelated,1
124,Among the few currently available manually senseannotated corpora for WSD  the SEMCOR SC corpus   is the most widely used,BackGround,GRelated,1
125,The DSO corpus   contains 192 800 annotated examples for 121 nouns and 70 verbs  drawn from BC and WSJ,BackGround,SRelated,1
126,In this section  we describe an EMbased algorithm that was introduced by Saerens et al    which can be used to estimate the sense priors  or a priori probabilities of the different senses in a new dataset,Fundamental,Basis,1
127,Most of this section is based on  ,Fundamental,Basis,1
128,In applying active learning for domain adaptation  Zhang et al   presented work on sentence boundary detection using generalized Winnow  while Tur et al   performed language model adaptation of automatic speech recognition systems,BackGround,GRelated,1
129,In most contexts  the similarity between chocolate  say  and a narcotic like heroin will meagerly reflect the simple ontological fact that both are kinds of substances certainly  taxonomic measures of similarity as discussed in Budanitsky and Hirst   will capture little more than this commonality,BackGround,GRelated,1
130,The function sim arg 0 CAT reflects the perceived similarity between the putative member arg 0 and a synset CAT in WordNet  using one of the standard formulations described in Budanitsky and Hirst  ,BackGround,SRelated,1
131,Whissell   reduces the notion of affect to a single numeric dimension  to produce a dictionary of affect that associates a numeric value in the range 10 most unpleasant to 30  ,BackGround,SRelated,1
132,We have described an approach that can be seen as a functional equivalent to the CPA Corpus Pattern Analysis approach of Pustejovsky et al    in which our goal is not that of automated induction of word senses in context as it is in CPA but the automated induction of flexible  contextsensitive category structures,Fundamental,Basis,1
133,Since the line between literal and metaphoric uses of a category is often impossible to draw  the best one can do is to accept metaphor as a gradable phenomenon  ,BackGround,SRelated,1
134,The most revealing variations are syntagmatic in nature  which is to say  they look beyond individual word forms to larger patterns of contiguous usage  ,BackGround,GRelated,1
135,Dices coefficient   is used to implement this measure,Fundamental,Basis,1
136,As noted by De Leenheer and de Moor    ontologies are lexical representations of concepts  so we can expect the effects of context on language use to closely reflect the effects of context on ontologLinguistic variation across contexts is often symp ical structure,BackGround,SRelated,1
137,While simile is a mechanism for highlighting interconcept similarity  metaphor is at heart a mechanism of category inclusion  ,BackGround,SRelated,1
138,Glucksberg   notes that the same category  used figuratively  can exhibit different qualities in different metaphors,BackGround,SRelated,1
139,In this section  we describe how we use Markov chain Monte Carlo methods to perform inference in the statistical models described in the previous section Andrieu et al   provide an excellent introduction to MCMC techniques,BackGround,SRelated,1
140,These are short statements that restrict the space of languages in a concrete way for instance objectverb ordering implies adjectivenoun ordering Croft    Hawkins   and Song   provide excellent introductions to linguistic typology,BackGround,GRelated,2
141,This is a welldocumented issue see  eg    stemming from the fact that any set of languages is not sampled uniformly from the space of all probable languages,BackGround,SRelated,1
142,The closest work is represented by the books Possible and Probable Languages   and Language Classification by Numbers    but the focus of these books is on automatically discovering phylogenetic trees for languages based on IndoEuropean cognate sets  ,BackGround,GRelated,1
143,Those that reference Hawkins eg  11 are based on implications described by Hawkins   those that reference Lehmann are references to the principles decided by Lehmann   in Ch 4  8,Fundamental,Basis,1
144,They have also been used computationally to aid in the learning of unsupervised part of speech taggers  ,BackGround,GRelated,1
145,For instance our 7 is implication 18 from Greenberg  reproduced by Song  ,Fundamental,Basis,1
146,We examined sentences using a phrase structure parser   and an HPSG parser  ,Fundamental,Basis,1
147,Since the number of parameters in NLM is still large  several smoothing methods are used   to produce more accurate probabilities  and to assign nonzero probabilities to any word string,BackGround,GRelated,1
148,We would like to see more refined online learning methods with kernels   that we could apply in these areas,BackGround,MRelated,1
149,Therefore we make use of an online learning algorithm proposed by    which has a much smaller computational cost,Fundamental,Basis,1
150,Blei  2003 Wang et al  2005  our result may encourage the study ofthe combination offeatures forlanguage modeling,,,
151,We used a Viterbi decoding   for the partition,Fundamental,Basis,1
152,Discriminative language models DLMs have been proposed to classify sentences directly as correct or incorrect    and these models can handle both nonlocal and overlapping information,BackGround,GRelated,1
153,For fast kernel computation  the Polynomial Kernel Inverted method PKI is proposed    which is an extension of Inverted Index in Information Retrieval,BackGround,SRelated,1
154,The class model was originally proposed by  ,BackGround,SRelated,1
155,However  by considering only those counts that actually change  the algorithm can be made to scale somewhere between linearly and quadratically to the number of classes  ,BackGround,SRelated,1
156,Recently  Whole Sentence Maximum Entropy Models   WSMEs have been introduced,BackGround,GRelated,1
157,In our experiments  we did not examine the result of using other sampling methods  For example  it would be possible to sample sentences from a whole sentence maximum entropy model   and this is a topic for future research,BackGround,MRelated,1
158,A contrastive estimation method   is similar to ours with regard to constructing pseudonegative examples,Fundamental,Idea,1
159,If the kerneltrick   is applied to online marginbased learning  a subset of the observed examples  called the active set  needs to be stored,BackGround,SRelated,1
160,It should be noted that models based on finite state transducers have been shown to be adequate for describing fusion as well   and further work should evaluate these types of models in ASR of languages with higher indexes of fusion,BackGround,GRelated,1
161,The final approach applies a manually constructed rulebased morphological tagger ,Fundamental,Basis,1
162,For training the LMs  a subset of 43 million words from the Estonian Segakorpus was used   preprocessed with a morphological analyzer ,Fundamental,Basis,1
163,In   a WER of 445 was obtained with wordbased trigrams and a WER of 372 with items similar to ones from grammar using the same speech corpus as in this work,BackGround,SRelated,1
164,It should be noted that every OOV causes roughly two errors in recognition  and vocabulary decomposition approaches such as the ones evaluated here give some benefits to word error rate WER even in recognizing languages such as English ,BackGround,SRelated,1
165,This is similar to what was introduced as flat hybrid model   and it tries to model OOVwords as sequences of words and fragments,Fundamental,Idea,1
166,The results for hybrid are in in the range suggested by earlier work ,BackGround,SRelated,1
167,The morph approach was developed for the needs of Finnish speech recognition  which is a high synthesis  moderate fusion and very low orthographic irregularity language  whereas the hybrid approach in   was developed for English  which has low synthesis  moderate fusion  and very high orthographic irregularity,BackGround,GRelated,1
168,Varigrams  are used in this work  and to make LMs trained with each approach comparable  the varigrams have been grown to roughly sizes of 5 million counts,Fundamental,Basis,1
169,ing approach  growing varigram models  were used with no limits as to the order of ngrams  but limiting the number of counts to 48 and 5 million counts,Fundamental,Basis,1
170,For example  in English with language models LM of 60k words trained from the Gigaword Corpus V2   and testing on a very similar Voice of America portion of TDT4 speech corpora   this gives a OOV rate of 15,BackGround,SRelated,1
171,Models of this type have previously been shown to yield very good g2p conversion results  ,BackGround,GRelated,2
172,It has been argued that using morphological information is important for languages where morphology has an important influence on pronunciation  syllabiication and word stress such as German  Dutch  Swedish or  to a smaller extent  also English  ,BackGround,GRelated,1
173,Decision trees were one of the first databased approaches to g2p and are still widely used  ,BackGround,GRelated,1
174,Best results were obtained when using a variant of Modified KneserNey Smoothing 2  ,BackGround,SRelated,2
175,  also used a joint ngram model,BackGround,SRelated,1
176,We compared four different stateoftheart unsupervised systems for morphological decomposition cf  ,Compare,Compare,1
177,In very recent work    developed an unsupervised algorithm fmeas 68 an extension of RePortS whose segmentations improve g2p when using a the decision tree PER 345,BackGround,GRelated,2
178,The German corpus used in these experiments is CELEX  ,Fundamental,Basis,1
179,Among the unsupervised systems  best results 7 on the g2p task with morphological annotation were obtained with the RePortS system  ,Fundamental,Basis,2
180,The same algorithms have previously been shown to help a speech recognition task  ,BackGround,GRelated,2
181,The joint ngram model performs significantly better than the decision tree essentially based on    and achieves scores comparable to the Pronunciation by Analogy PbA algorithm  ,Compare,Compare,2
182,This is much faster than the times for Pronunciation by Analogy PbA   on the same corpus,Compare,Compare,2
183,Examples of such approaches using Hidden Markov Models are   who applied the HMM to the related task of phonemetographeme conversion    and  ,BackGround,GRelated,1
184,For German    show that information about stress assignment and the position of a syllable within a word improve g2p conversion,BackGround,GRelated,1
185,Vowel length and quality has been argued to also depend on morphological structure  ,BackGround,GRelated,1
186,The two rulebased systems we evaluated  the ETI 4 morphological system and SMOR 5    are both highquality systems with large lexica that have been developed over several years,Fundamental,Basis,2
187,We used the syllabifier described in    which works similar to the joint ngram model used for g2p conversion,Fundamental,Basis,1
188,A possible reason for the observed dichotomy in the behavior of the vowel and consonant inventories with respect to redundancy can be as follows while the organization of the vowel inventories is known to be governed by a single force  the maximal perceptual contrast    consonant inventories are shaped by a complex interplay of several forces  ,BackGround,GRelated,1
189,It has been postulated earlier by functional phonologists that such regularities are the consequences of certain general principles like maximal perceptual contrast    which is desirable between the phonemes of a language for proper perception of each individual phoneme in a noisy environment  ease of articulation    which requires that the sound systems of all languages are formed of certain universal and highly frequent sounds  and ease of learnability   which is necessary for a speaker to learn the sounds of a language with minimum effort,BackGround,GRelated,1
190,Such an observation is significant since whether or not these principles are similardifferent for the two inventories had been a question giving rise to perennial debate among the past researchers  ,BackGround,GRelated,1
191,On the other hand  in spite of several attempts   the organization of the consonant inventories lacks a satisfactory explanation,BackGround,GRelated,3
192,Various attempts have been made in the past to explain the aforementioned trends through linguistic insights   mainly establishing their statistical significance,BackGround,GRelated,1
193,For instance  in biological systems we find redundancy in the codons    in the genes   and as well in the proteins  ,BackGround,GRelated,1
194,In fact  the organization of the vowel inventories especially those with a smaller size across languages has been satisfactorily explained in terms of the single principle of maximal perceptual contrast  ,BackGround,GRelated,2
195,This redundancy is present mainly to reduce the risk of the complete loss of information that might occur due to accidental errors  ,BackGround,GRelated,1
196,Many typological studies   of segmental inventories have been carried out in past on the UCLA Phonological Segment Inventory Database UPSID  ,BackGround,GRelated,1
197,In order to explain these trends  feature economy was proposed as the organizing principle of the consonant inventories  ,BackGround,GRelated,1
198,Inspired by the aforementioned studies and the concepts of information theory   we try to quantitatively capture the amount of redundancy found across the consonant Table 1 The table shows four plosives,Fundamental,Idea,1
199,For this purpose  we present an information theoretic definition of redundancy  which is calculated based on the set of features 1   that are used to express the consonants,Fundamental,Basis,1
200,However  one of the earliest observations about the consonant inventories has been that consonants tend to occur in pairs that exhibit strong correlation in terms of their features  ,BackGround,GRelated,1
201,2 Previous Work Previous work  eg    has mostly assumed that one has a training lexicon of transliteration pairs  from which one can learn a model  often a sourcechannel or MaxEntbased model,BackGround,GRelated,1
202,A linear classifier is trained using the Winnow algorithm from the SNoW toolkit  ,Fundamental,Basis,1
203,Using comparable corpora  the namedentities for persons and locations were extracted from the English text in this paper  the English namedentities were extracted using the namedentity recognizer described in Li et al    based on the SNoW machine learning toolkit  ,Fundamental,Basis,1
204,This is quite small compared to previous approaches such as Knight and Graehl   or Gao et al  ,BackGround,SRelated,1
205,Gildea and Jurafsky   counted the number of features whose values are different  and used them as a substitution cost,BackGround,GRelated,1
206,Halle and Clements  s distinctive features are used in order to model the substitution insertiondeletion costs for the stringalignment algorithm and linear classifier,Fundamental,Basis,1
207,All pronunciations are based on the WorldBet transliteration system    an asciionly version of the IPA,Fundamental,Basis,1
208,a For all the training data  the pairs of pronunciations are aligned using standard string alignment algorithm based on Kruskal  ,Fundamental,Basis,1
209,For the set of features X and set of weights W  the linear classifier is defined as 1   X    X   X2  ,,,
210,In this paper  the phonetic transliteration is performed using the following steps 1  Generation of the pronunciation for English words and target words a Pronunciations for English words are obtained using the Festival texttospeech system  ,Fundamental,Basis,1
211,Based on the pronunciation error data of learners of English as a second language as reported in    we propose the use of what we will term pseudofeatures,Fundamental,Basis,1
212,Examples of the top3 candidates in the transliteration of EnglishKorean To evaluate the proposed transliteration methods quantitatively  the Mean Reciprocal Rank MRR  a measure commonly used in information retrieval when there is precisely one correct answer   was measured  following Tao and Zhai  ,Fundamental,Idea,1
213,In our work  we adopt the method proposed in   and apply it to the problem of transliteration,Fundamental,Basis,1
214,The substitutioninsertiondeletion cost for the string alignment algorithm is based on the baseline cost from  ,Fundamental,Basis,1
215,The pseudo features in this study are same as in Tao et al  ,Fundamental,Idea,1
216,MRRs of the phonetic transliteration The baseline was computed using the phonetic transliteration method proposed in Tao et al  ,Fundamental,Basis,1
217,By treating a lettercharacter as a word and a group of letterscharacters as a phrase or token unit in SMT  one can easily apply the traditional SMT models  such as the IBM generative model   or the phrasebased translation model   to transliteration,BackGround,GRelated,1
218,In G2P studies  Font Llitjos and Black   showed how knowledge of language of origin may improve conversion accuracy,BackGround,GRelated,1
